grant_agencies,ror,official_name
"U.S. Army Research Laboratory (ARL), Scalable, Adaptive, and Resilient Autonomy (SARA) Collaborative Research Alliance",,
U.S. Department of Education,https://ror.org/021adze67,United States Department of Education
"U.S. Dept. of Transportation, University Transportation Center (Tier-1), Cooperative Mobility for Competitive Megaregions (CM2)",,
U.S. Fish and Wildlife Service,https://ror.org/04k7dar27,United States Fish and Wildlife Service
U.S. Geological Survey Water Availability and Use Science Program and Water Resources Research Act Program,,
"U.S. Geological Survey, National Cooperative Geologic Mapping Program, under STATEMAP",https://ror.org/021jr9c59,National Cooperative Geologic Mapping Program
U.S. Information Agency,,
US Department of Energy,https://ror.org/01bj3aw27,United States Department of Energy
US EPA,https://ror.org/03tns0030,Environmental Protection Agency
US Environmental Protection Agency,https://ror.org/03tns0030,Environmental Protection Agency
US Geological Survey National Cooperative Geologic Mapping Program,https://ror.org/021jr9c59,National Cooperative Geologic Mapping Program
US Geological Survey National Cooperative Geologic Mapping Program:,https://ror.org/021jr9c59,National Cooperative Geologic Mapping Program
US Geological Survey National Cooperative Geologic Mapping Program: STATEMAP,https://ror.org/021jr9c59,National Cooperative Geologic Mapping Program
US National Science Foundation,https://ror.org/021nxhr62,U.S. National Science Foundation
USSSP,https://ror.org/032x9hy18,United States Science Support Program
UT Austin,https://ror.org/00hj54h04,The University of Texas at Austin
United States Agency for International Development,https://ror.org/01n6e6j62,United States Agency for International Development
University of Bern,https://ror.org/02k7v4d05,University of Bern
University of Houston,https://ror.org/048sx0r50,University of Houston
University of North Texas Health Science Center at Fort Worth,https://ror.org/05msxaq47,University of North Texas Health Science Center
Welch Foundation,https://ror.org/00np6vq88,Welch Foundation
Weston Family Foundation,https://ror.org/0512g3q82,Weston Family Foundation
tate of Texas Advanced Resource Recovery (STARR),,
